ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
22024484,中古マンション等,,22103,静岡県,静岡市清水区,本郷町,清水(静岡),6,１ＤＫ,40,,,,1974年,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2011年第3四半期,改装済み,,6.4623979978989565
22116865,中古マンション等,,22212,静岡県,焼津市,,焼津,,４ＬＤＫ,110,,,,,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2008年第1四半期,,,7.447158031342219
22071002,中古マンション等,,22203,静岡県,沼津市,岡一色,沼津,30分～60分,４ＬＤＫ,85,,,,1991年,ＳＲＣ,住宅,,,,,１種住居,60.0,200.0,2008年第3四半期,未改装,調停・競売等,7.079181246047625
22101783,中古マンション等,,22210,静岡県,富士市,水戸島本町,富士,6,１Ｋ,15,,,,1992年,ＳＲＣ,住宅,,,,,近隣商業,80.0,300.0,2012年第2四半期,,,6.301029995663981
22094081,中古マンション等,,22210,静岡県,富士市,今泉,本吉原,10,３ＬＤＫ,70,,,,,,,,,,,工業,60.0,200.0,2023年第2四半期,未改装,,7.204119982655925
22035877,中古マンション等,,22138,静岡県,浜松市中央区,元浜町,八幡(静岡),4,１Ｋ,15,,,,,,,住宅,,,,商業,80.0,400.0,2020年第1四半期,,,7.041392685158225
22049877,中古マンション等,,22138,静岡県,浜松市中央区,東伊場,浜松,20,３ＬＤＫ,55,,,,1986年,ＳＲＣ,住宅,,,,,近隣商業,80.0,300.0,2013年第4四半期,改装済み,,6.897627091290442
22030195,中古マンション等,,22138,静岡県,浜松市中央区,鍛冶町,浜松,6,２ＬＤＫ,70,,,,,,,住宅,,,,商業,80.0,500.0,2020年第4四半期,未改装,,7.623249290397901
22052767,中古マンション等,,22138,静岡県,浜松市中央区,寺島町,浜松,13,３ＤＫ,55,,,,1991年,ＳＲＣ,住宅,,,,,近隣商業,80.0,300.0,2007年第4四半期,改装済み,,6.886490725172482
22043709,中古マンション等,,22138,静岡県,浜松市中央区,海老塚,浜松,10,１Ｋ,15,,,,1990年,ＳＲＣ,住宅,住宅,,,,商業,80.0,500.0,2015年第4四半期,未改装,,6.301029995663981
22028711,中古マンション等,,22138,静岡県,浜松市中央区,相生町,浜松,18,４ＬＤＫ,85,,,,1999年,ＳＲＣ,,住宅,,,,商業,80.0,400.0,2019年第1四半期,未改装,,7.278753600952829
22066981,中古マンション等,,22203,静岡県,沼津市,杉崎町,沼津,14,３ＬＤＫ,70,,,,1997年,ＳＲＣ,住宅,住宅,,,,２種住居,60.0,200.0,2017年第4四半期,未改装,,6.799340549453582
22067627,中古マンション等,,22203,静岡県,沼津市,東間門,沼津,16,,80,,,,戦前,ＲＣ,住宅,住宅,,,,準工業,60.0,200.0,2014年第3四半期,,調停・競売等,6.863322860120456
22076731,中古マンション等,,22206,静岡県,三島市,本町,三島,13,３ＬＤＫ,80,,,,2005年,ＲＣ,住宅,,,,,商業,80.0,400.0,2012年第1四半期,未改装,,7.380211241711606
22026338,中古マンション等,,22103,静岡県,静岡市清水区,小芝町,清水(静岡),6,３ＬＤＫ,70,,,,2002年,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2013年第1四半期,未改装,調停・競売等,7.113943352306837
22065280,中古マンション等,,22203,静岡県,沼津市,白銀町,沼津,9,３ＬＤＫ,75,,,,2006年,ＳＲＣ,住宅,住宅,,,,商業,80.0,400.0,2021年第2四半期,未改装,,7.361727836017593
22007765,中古マンション等,,22101,静岡県,静岡市葵区,沓谷,静岡,30分～60分,３ＬＤＫ,70,,,,1996年,ＲＣ,住宅,,,,,１中住専,60.0,200.0,2012年第4四半期,未改装,,7.146128035678238
22108496,中古マンション等,,22211,静岡県,磐田市,今之浦,磐田,21,１ＤＫ,20,,,,1987年,鉄骨造,住宅,住宅,,,,１種住居,60.0,200.0,2015年第1四半期,,,6.3979400086720375
22037825,中古マンション等,,22138,静岡県,浜松市中央区,中島,浜松,14,１ＬＤＫ,20,,,,1991年,ＲＣ,,その他,,,,近隣商業,80.0,200.0,2018年第4四半期,改装済み,,6.3979400086720375
22027642,中古マンション等,,22103,静岡県,静岡市清水区,神田町,清水(静岡),30分～60分,３ＬＤＫ,75,,,,1998年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2007年第2四半期,改装済み,,7.2552725051033065
22052445,中古マンション等,,22138,静岡県,浜松市中央区,幸,浜松,30分～60分,３ＬＤＫ,65,,,,2007年,ＲＣ,住宅,,,,,２種住居,60.0,200.0,2008年第1四半期,未改装,,7.414973347970818
22018346,中古マンション等,,22102,静岡県,静岡市駿河区,池田,東静岡,28,３ＬＤＫ,65,,,,1979年,ＲＣ,住宅,,,,,１中住専,60.0,150.0,2008年第2四半期,未改装,,6.778151250383644
22015655,中古マンション等,,22102,静岡県,静岡市駿河区,豊田,静岡,29,３ＬＤＫ,70,,,,1997年,ＲＣ,住宅,,,,,工業,60.0,200.0,2011年第2四半期,改装済み,,7.278753600952829
22036019,中古マンション等,,22138,静岡県,浜松市中央区,山手町,浜松,30分～60分,３ＬＤＫ,105,,,,2000年,ＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2019年第4四半期,改装済み,,7.544068044350276
22069286,中古マンション等,,22203,静岡県,沼津市,新宿町,沼津,7,３ＬＤＫ,60,,,,,ＳＲＣ,住宅,住宅,,,,商業,80.0,400.0,2016年第1四半期,改装済み,,7.041392685158225
22034772,中古マンション等,,22138,静岡県,浜松市中央区,東伊場,浜松,23,３ＬＤＫ,90,,,,2008年,ＲＣ,住宅,住宅,,,,２種住居,60.0,200.0,2022年第1四半期,未改装,,7.361727836017593
22049736,中古マンション等,,22138,静岡県,浜松市中央区,中央,浜松,8,４ＬＤＫ,80,,,,2000年,ＲＣ,住宅,,,,,商業,80.0,400.0,2013年第1四半期,未改装,,7.3979400086720375
22116211,中古マンション等,,22212,静岡県,焼津市,本町,焼津,8,３ＬＤＫ,65,,,,2007年,ＲＣ,住宅,,,,,商業,80.0,400.0,2009年第4四半期,未改装,,7.204119982655925
22055121,中古マンション等,,22139,静岡県,浜松市浜名区,貴布祢,浜北,3,３ＬＤＫ,75,,,,1998年,ＲＣ,住宅,住宅,,,,商業,80.0,200.0,2020年第1四半期,未改装,,7.176091259055681
22043191,中古マンション等,,22138,静岡県,浜松市中央区,曳馬,浜松,30分～60分,３ＬＤＫ,80,,,,2004年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2011年第1四半期,未改装,,7.2552725051033065
